"Year","Subregion","subregion.code","Species","date","present"
2011,"Bay of Biscay & Iberian Coast","ABI","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2011-01-01,23
2012,"Bay of Biscay & Iberian Coast","ABI","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2012-01-01,24
2013,"Bay of Biscay & Iberian Coast","ABI","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2013-01-01,25
2014,"Bay of Biscay & Iberian Coast","ABI","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2014-01-01,26
2015,"Bay of Biscay & Iberian Coast","ABI","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2015-01-01,27
2016,"Bay of Biscay & Iberian Coast","ABI","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2016-01-01,28
1989,"Celtic Seas","ACS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1989-01-01,NA
1990,"Celtic Seas","ACS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1990-01-01,NA
1991,"Celtic Seas","ACS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1991-01-01,NA
1992,"Celtic Seas","ACS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1992-01-01,NA
1993,"Celtic Seas","ACS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1993-01-01,1
1994,"Celtic Seas","ACS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1994-01-01,2
1995,"Celtic Seas","ACS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1995-01-01,3
1996,"Celtic Seas","ACS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1996-01-01,4
1997,"Celtic Seas","ACS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1997-01-01,5
1998,"Celtic Seas","ACS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1998-01-01,6
1999,"Celtic Seas","ACS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1999-01-01,7
2000,"Celtic Seas","ACS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2000-01-01,8
2001,"Celtic Seas","ACS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2001-01-01,9
2002,"Celtic Seas","ACS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2002-01-01,10
2003,"Celtic Seas","ACS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2003-01-01,11
2004,"Celtic Seas","ACS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2004-01-01,12
2005,"Celtic Seas","ACS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2005-01-01,13
2006,"Celtic Seas","ACS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2006-01-01,14
2007,"Celtic Seas","ACS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2007-01-01,15
2008,"Celtic Seas","ACS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2008-01-01,16
2009,"Celtic Seas","ACS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2009-01-01,17
2010,"Celtic Seas","ACS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2010-01-01,18
2011,"Celtic Seas","ACS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2011-01-01,19
2012,"Celtic Seas","ACS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2012-01-01,20
2013,"Celtic Seas","ACS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2013-01-01,21
2014,"Celtic Seas","ACS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2014-01-01,22
2015,"Celtic Seas","ACS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2015-01-01,23
2016,"Celtic Seas","ACS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2016-01-01,24
1989,"Greater North Sea","ANS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1989-01-01,NA
1990,"Greater North Sea","ANS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1990-01-01,NA
1991,"Greater North Sea","ANS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1991-01-01,NA
1992,"Greater North Sea","ANS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1992-01-01,NA
1993,"Greater North Sea","ANS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1993-01-01,NA
1994,"Greater North Sea","ANS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1994-01-01,1
1995,"Greater North Sea","ANS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1995-01-01,2
1996,"Greater North Sea","ANS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1996-01-01,3
1997,"Greater North Sea","ANS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1997-01-01,4
1998,"Greater North Sea","ANS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1998-01-01,5
1999,"Greater North Sea","ANS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1999-01-01,6
2000,"Greater North Sea","ANS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2000-01-01,7
2001,"Greater North Sea","ANS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2001-01-01,8
2002,"Greater North Sea","ANS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2002-01-01,9
2003,"Greater North Sea","ANS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2003-01-01,10
2004,"Greater North Sea","ANS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2004-01-01,11
2005,"Greater North Sea","ANS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2005-01-01,12
2006,"Greater North Sea","ANS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2006-01-01,13
2007,"Greater North Sea","ANS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2007-01-01,14
2008,"Greater North Sea","ANS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2008-01-01,15
2009,"Greater North Sea","ANS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2009-01-01,16
2010,"Greater North Sea","ANS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2010-01-01,17
2011,"Greater North Sea","ANS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2011-01-01,18
2012,"Greater North Sea","ANS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2012-01-01,19
2013,"Greater North Sea","ANS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2013-01-01,20
2014,"Greater North Sea","ANS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2014-01-01,21
2015,"Greater North Sea","ANS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2015-01-01,22
2016,"Greater North Sea","ANS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2016-01-01,23
1989,"Baltic Sea","BAL","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1989-01-01,NA
1990,"Baltic Sea","BAL","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1990-01-01,NA
1991,"Baltic Sea","BAL","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1991-01-01,NA
1992,"Baltic Sea","BAL","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1992-01-01,NA
1993,"Baltic Sea","BAL","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1993-01-01,NA
1994,"Baltic Sea","BAL","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1994-01-01,NA
1995,"Baltic Sea","BAL","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1995-01-01,NA
1996,"Baltic Sea","BAL","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1996-01-01,NA
1997,"Baltic Sea","BAL","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1997-01-01,NA
1998,"Baltic Sea","BAL","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1998-01-01,NA
1999,"Baltic Sea","BAL","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1999-01-01,NA
2000,"Baltic Sea","BAL","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2000-01-01,NA
2001,"Baltic Sea","BAL","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2001-01-01,NA
2002,"Baltic Sea","BAL","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2002-01-01,NA
2003,"Baltic Sea","BAL","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2003-01-01,1
2004,"Baltic Sea","BAL","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2004-01-01,2
2005,"Baltic Sea","BAL","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2005-01-01,3
2006,"Baltic Sea","BAL","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2006-01-01,4
2007,"Baltic Sea","BAL","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2007-01-01,5
2008,"Baltic Sea","BAL","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2008-01-01,6
2009,"Baltic Sea","BAL","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2009-01-01,7
2010,"Baltic Sea","BAL","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2010-01-01,8
2011,"Baltic Sea","BAL","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2011-01-01,9
2012,"Baltic Sea","BAL","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2012-01-01,10
2013,"Baltic Sea","BAL","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2013-01-01,11
2014,"Baltic Sea","BAL","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2014-01-01,12
2015,"Baltic Sea","BAL","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2015-01-01,13
2016,"Baltic Sea","BAL","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2016-01-01,14
1989,"Adriatic Sea","MAD","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1989-01-01,NA
1990,"Adriatic Sea","MAD","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1990-01-01,NA
1991,"Adriatic Sea","MAD","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1991-01-01,NA
1992,"Adriatic Sea","MAD","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1992-01-01,NA
1993,"Adriatic Sea","MAD","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1993-01-01,NA
1994,"Adriatic Sea","MAD","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1994-01-01,NA
1995,"Adriatic Sea","MAD","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1995-01-01,NA
1996,"Adriatic Sea","MAD","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1996-01-01,NA
1997,"Adriatic Sea","MAD","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1997-01-01,NA
1998,"Adriatic Sea","MAD","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1998-01-01,NA
1999,"Adriatic Sea","MAD","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1999-01-01,NA
2000,"Adriatic Sea","MAD","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2000-01-01,NA
2001,"Adriatic Sea","MAD","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2001-01-01,NA
2002,"Adriatic Sea","MAD","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2002-01-01,NA
2003,"Adriatic Sea","MAD","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2003-01-01,NA
2004,"Adriatic Sea","MAD","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2004-01-01,NA
2005,"Adriatic Sea","MAD","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2005-01-01,NA
2006,"Adriatic Sea","MAD","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2006-01-01,NA
2007,"Adriatic Sea","MAD","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2007-01-01,NA
2008,"Adriatic Sea","MAD","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2008-01-01,1
2009,"Adriatic Sea","MAD","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2009-01-01,2
2010,"Adriatic Sea","MAD","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2010-01-01,3
2011,"Adriatic Sea","MAD","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2011-01-01,4
2012,"Adriatic Sea","MAD","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2012-01-01,5
2013,"Adriatic Sea","MAD","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2013-01-01,6
2014,"Adriatic Sea","MAD","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2014-01-01,7
2015,"Adriatic Sea","MAD","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2015-01-01,8
2016,"Adriatic Sea","MAD","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2016-01-01,9
1989,"Western Mediterranean Sea","MWE","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1989-01-01,NA
1990,"Western Mediterranean Sea","MWE","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1990-01-01,NA
1991,"Western Mediterranean Sea","MWE","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1991-01-01,NA
1992,"Western Mediterranean Sea","MWE","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1992-01-01,NA
1993,"Western Mediterranean Sea","MWE","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1993-01-01,NA
1994,"Western Mediterranean Sea","MWE","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1994-01-01,NA
1995,"Western Mediterranean Sea","MWE","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1995-01-01,NA
1996,"Western Mediterranean Sea","MWE","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1996-01-01,NA
1997,"Western Mediterranean Sea","MWE","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1997-01-01,NA
1998,"Western Mediterranean Sea","MWE","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1998-01-01,NA
1999,"Western Mediterranean Sea","MWE","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1999-01-01,NA
2000,"Western Mediterranean Sea","MWE","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2000-01-01,NA
2001,"Western Mediterranean Sea","MWE","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2001-01-01,NA
2002,"Western Mediterranean Sea","MWE","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2002-01-01,NA
2003,"Western Mediterranean Sea","MWE","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2003-01-01,NA
2004,"Western Mediterranean Sea","MWE","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2004-01-01,NA
2005,"Western Mediterranean Sea","MWE","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2005-01-01,NA
2006,"Western Mediterranean Sea","MWE","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2006-01-01,NA
2007,"Western Mediterranean Sea","MWE","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2007-01-01,NA
2008,"Western Mediterranean Sea","MWE","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2008-01-01,NA
2009,"Western Mediterranean Sea","MWE","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2009-01-01,NA
2010,"Western Mediterranean Sea","MWE","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2010-01-01,NA
2011,"Western Mediterranean Sea","MWE","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2011-01-01,NA
2012,"Western Mediterranean Sea","MWE","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2012-01-01,NA
2013,"Western Mediterranean Sea","MWE","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2013-01-01,NA
2014,"Western Mediterranean Sea","MWE","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2014-01-01,NA
2015,"Western Mediterranean Sea","MWE","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2015-01-01,NA
2016,"Western Mediterranean Sea","MWE","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2016-01-01,1
1975,"Bay of Biscay & Iberian Coast","ABI","Anadara transversa (Say, 1822)",1975-01-01,NA
1976,"Bay of Biscay & Iberian Coast","ABI","Anadara transversa (Say, 1822)",1976-01-01,NA
1977,"Bay of Biscay & Iberian Coast","ABI","Anadara transversa (Say, 1822)",1977-01-01,NA
1978,"Bay of Biscay & Iberian Coast","ABI","Anadara transversa (Say, 1822)",1978-01-01,NA
1979,"Bay of Biscay & Iberian Coast","ABI","Anadara transversa (Say, 1822)",1979-01-01,NA
1980,"Bay of Biscay & Iberian Coast","ABI","Anadara transversa (Say, 1822)",1980-01-01,NA
1981,"Bay of Biscay & Iberian Coast","ABI","Anadara transversa (Say, 1822)",1981-01-01,NA
1982,"Bay of Biscay & Iberian Coast","ABI","Anadara transversa (Say, 1822)",1982-01-01,NA
1983,"Bay of Biscay & Iberian Coast","ABI","Anadara transversa (Say, 1822)",1983-01-01,NA
1984,"Bay of Biscay & Iberian Coast","ABI","Anadara transversa (Say, 1822)",1984-01-01,NA
1985,"Bay of Biscay & Iberian Coast","ABI","Anadara transversa (Say, 1822)",1985-01-01,NA
1986,"Bay of Biscay & Iberian Coast","ABI","Anadara transversa (Say, 1822)",1986-01-01,NA
1987,"Bay of Biscay & Iberian Coast","ABI","Anadara transversa (Say, 1822)",1987-01-01,NA
1988,"Bay of Biscay & Iberian Coast","ABI","Anadara transversa (Say, 1822)",1988-01-01,NA
1989,"Bay of Biscay & Iberian Coast","ABI","Anadara transversa (Say, 1822)",1989-01-01,NA
1990,"Bay of Biscay & Iberian Coast","ABI","Anadara transversa (Say, 1822)",1990-01-01,NA
1991,"Bay of Biscay & Iberian Coast","ABI","Anadara transversa (Say, 1822)",1991-01-01,NA
1992,"Bay of Biscay & Iberian Coast","ABI","Anadara transversa (Say, 1822)",1992-01-01,NA
1993,"Bay of Biscay & Iberian Coast","ABI","Anadara transversa (Say, 1822)",1993-01-01,NA
1994,"Bay of Biscay & Iberian Coast","ABI","Anadara transversa (Say, 1822)",1994-01-01,NA
1995,"Bay of Biscay & Iberian Coast","ABI","Anadara transversa (Say, 1822)",1995-01-01,NA
1996,"Bay of Biscay & Iberian Coast","ABI","Anadara transversa (Say, 1822)",1996-01-01,NA
1997,"Bay of Biscay & Iberian Coast","ABI","Anadara transversa (Say, 1822)",1997-01-01,NA
1998,"Bay of Biscay & Iberian Coast","ABI","Anadara transversa (Say, 1822)",1998-01-01,NA
1999,"Bay of Biscay & Iberian Coast","ABI","Anadara transversa (Say, 1822)",1999-01-01,NA
2000,"Bay of Biscay & Iberian Coast","ABI","Anadara transversa (Say, 1822)",2000-01-01,NA
2001,"Bay of Biscay & Iberian Coast","ABI","Anadara transversa (Say, 1822)",2001-01-01,NA
2002,"Bay of Biscay & Iberian Coast","ABI","Anadara transversa (Say, 1822)",2002-01-01,1
2003,"Bay of Biscay & Iberian Coast","ABI","Anadara transversa (Say, 1822)",2003-01-01,2
2004,"Bay of Biscay & Iberian Coast","ABI","Anadara transversa (Say, 1822)",2004-01-01,3
2005,"Bay of Biscay & Iberian Coast","ABI","Anadara transversa (Say, 1822)",2005-01-01,4
2006,"Bay of Biscay & Iberian Coast","ABI","Anadara transversa (Say, 1822)",2006-01-01,5
2007,"Bay of Biscay & Iberian Coast","ABI","Anadara transversa (Say, 1822)",2007-01-01,6
2008,"Bay of Biscay & Iberian Coast","ABI","Anadara transversa (Say, 1822)",2008-01-01,7
