"Year","Subregion","subregion.code","Species","date","present"
2009,"Central Mediterranean Sea","MIC","Mnemiopsis leidyi A. Agassiz, 1865",2009-01-01,1
1990,"Eastern Mediterranean Sea","MAL","Mnemiopsis leidyi A. Agassiz, 1865",1990-01-01,1
2001,"Greater North Sea","ANS","Mnemiopsis leidyi A. Agassiz, 1865",2001-01-01,1
2005,"Western Mediterranean Sea","MWE","Mnemiopsis leidyi A. Agassiz, 1865",2005-01-01,1
2014,"Adriatic Sea","MAD","Oithona davisae Ferrari F.D. & Orsi, 1984",2014-01-01,1
2002,"Bay of Biscay & Iberian Coast","ABI","Oithona davisae Ferrari F.D. & Orsi, 1984",2002-01-01,1
2009,"Black Sea","BLK","Oithona davisae Ferrari F.D. & Orsi, 1984",2009-01-01,1
2014,"Central Mediterranean Sea","MIC","Oithona davisae Ferrari F.D. & Orsi, 1984",2014-01-01,1
2018,"Eastern Mediterranean Sea","MAL","Oithona davisae Ferrari F.D. & Orsi, 1984",2018-01-01,1
2008,"Greater North Sea","ANS","Oithona davisae Ferrari F.D. & Orsi, 1984",2008-01-01,1
2000,"Western Mediterranean Sea","MWE","Oithona davisae Ferrari F.D. & Orsi, 1984",2000-01-01,1
2011,"Adriatic Sea","MAD","Palaemon macrodactylus Rathbun, 1902",2011-01-01,1
2014,"Baltic Sea","BAL","Palaemon macrodactylus Rathbun, 1902",2014-01-01,1
1999,"Bay of Biscay & Iberian Coast","ABI","Palaemon macrodactylus Rathbun, 1902",1999-01-01,1
2002,"Black Sea","BLK","Palaemon macrodactylus Rathbun, 1902",2002-01-01,1
2006,"Celtic Seas","ACS","Palaemon macrodactylus Rathbun, 1902",2006-01-01,1
1998,"Greater North Sea","ANS","Palaemon macrodactylus Rathbun, 1902",1998-01-01,1
2005,"Western Mediterranean Sea","MWE","Palaemon macrodactylus Rathbun, 1902",2005-01-01,1
1981,"Adriatic Sea","MAD","Paracerceis sculpta (Holmes, 1904)",1981-01-01,1
1988,"Bay of Biscay & Iberian Coast","ABI","Paracerceis sculpta (Holmes, 1904)",1988-01-01,1
1983,"Central Mediterranean Sea","MIC","Paracerceis sculpta (Holmes, 1904)",1983-01-01,1
2009,"Eastern Mediterranean Sea","MAL","Paracerceis sculpta (Holmes, 1904)",2009-01-01,1
2014,"Macaronesia","AMA","Paracerceis sculpta (Holmes, 1904)",2014-01-01,1
1983,"Western Mediterranean Sea","MWE","Paracerceis sculpta (Holmes, 1904)",1983-01-01,1
2007,"Adriatic Sea","MAD","Paraleucilla magna Klautau, Monteiro & Borojevic, 2004",2007-01-01,1
2008,"Bay of Biscay & Iberian Coast","ABI","Paraleucilla magna Klautau, Monteiro & Borojevic, 2004",2008-01-01,1
2001,"Central Mediterranean Sea","MIC","Paraleucilla magna Klautau, Monteiro & Borojevic, 2004",2001-01-01,1
2014,"Eastern Mediterranean Sea","MAL","Paraleucilla magna Klautau, Monteiro & Borojevic, 2004",2014-01-01,1
2006,"Macaronesia","AMA","Paraleucilla magna Klautau, Monteiro & Borojevic, 2004",2006-01-01,1
2000,"Western Mediterranean Sea","MWE","Paraleucilla magna Klautau, Monteiro & Borojevic, 2004",2000-01-01,1
2005,"Adriatic Sea","MAD","Paranthura japonica Richardson, 1909",2005-01-01,1
2007,"Bay of Biscay & Iberian Coast","ABI","Paranthura japonica Richardson, 1909",2007-01-01,1
2013,"Central Mediterranean Sea","MIC","Paranthura japonica Richardson, 1909",2013-01-01,1
2012,"Eastern Mediterranean Sea","MAL","Paranthura japonica Richardson, 1909",2012-01-01,1
2019,"Greater North Sea","ANS","Paranthura japonica Richardson, 1909",2019-01-01,1
2010,"Western Mediterranean Sea","MWE","Paranthura japonica Richardson, 1909",2010-01-01,1
1999,"Adriatic Sea","MAD","Polysiphonia morrowii Harvey, 1857",1999-01-01,1
2011,"Bay of Biscay & Iberian Coast","ABI","Polysiphonia morrowii Harvey, 1857",2011-01-01,1
1975,"Celtic Seas","ACS","Polysiphonia morrowii Harvey, 1857",1975-01-01,1
2012,"Central Mediterranean Sea","MIC","Polysiphonia morrowii Harvey, 1857",2012-01-01,1
2003,"Greater North Sea","ANS","Polysiphonia morrowii Harvey, 1857",2003-01-01,1
1997,"Western Mediterranean Sea","MWE","Polysiphonia morrowii Harvey, 1857",1997-01-01,1
2006,"Adriatic Sea","MAD","Pseudopolydora paucibranchiata (Okuda, 1937)",2006-01-01,1
1982,"Bay of Biscay & Iberian Coast","ABI","Pseudopolydora paucibranchiata (Okuda, 1937)",1982-01-01,1
2014,"Central Mediterranean Sea","MIC","Pseudopolydora paucibranchiata (Okuda, 1937)",2014-01-01,1
2005,"Eastern Mediterranean Sea","MAL","Pseudopolydora paucibranchiata (Okuda, 1937)",2005-01-01,1
2015,"Greater North Sea","ANS","Pseudopolydora paucibranchiata (Okuda, 1937)",2015-01-01,1
1977,"Western Mediterranean Sea","MWE","Pseudopolydora paucibranchiata (Okuda, 1937)",1977-01-01,1
1983,"Adriatic Sea","MAD","Ruditapes philippinarum (Adams & Reeve, 1850)",1983-01-01,1
1973,"Bay of Biscay & Iberian Coast","ABI","Ruditapes philippinarum (Adams & Reeve, 1850)",1973-01-01,1
1973,"Celtic Seas","ACS","Ruditapes philippinarum (Adams & Reeve, 1850)",1973-01-01,1
1990,"Central Mediterranean Sea","MIC","Ruditapes philippinarum (Adams & Reeve, 1850)",1990-01-01,1
1973,"Greater North Sea","ANS","Ruditapes philippinarum (Adams & Reeve, 1850)",1973-01-01,1
1980,"Western Mediterranean Sea","MWE","Ruditapes philippinarum (Adams & Reeve, 1850)",1980-01-01,1
2017,"Bay of Biscay & Iberian Coast","ABI","Sphaeroma walkeri Stebbing, 1905",2017-01-01,1
2004,"Black Sea","BLK","Sphaeroma walkeri Stebbing, 1905",2004-01-01,1
2018,"Central Mediterranean Sea","MIC","Sphaeroma walkeri Stebbing, 1905",2018-01-01,1
2017,"Eastern Mediterranean Sea","MAL","Sphaeroma walkeri Stebbing, 1905",2017-01-01,1
2015,"Macaronesia","AMA","Sphaeroma walkeri Stebbing, 1905",2015-01-01,1
1977,"Western Mediterranean Sea","MWE","Sphaeroma walkeri Stebbing, 1905",1977-01-01,1
2017,"Baltic Sea","BAL","Styela clava Herdmann, 1881",2017-01-01,1
1979,"Bay of Biscay & Iberian Coast","ABI","Styela clava Herdmann, 1881",1979-01-01,1
2002,"Black Sea","BLK","Styela clava Herdmann, 1881",2002-01-01,1
1971,"Celtic Seas","ACS","Styela clava Herdmann, 1881",1971-01-01,1
2014,"Macaronesia","AMA","Styela clava Herdmann, 1881",2014-01-01,1
2005,"Western Mediterranean Sea","MWE","Styela clava Herdmann, 1881",2005-01-01,1
1982,"Adriatic Sea","MAD","Tricellaria inopinata d'Hondt & Occhipinti Ambrogi, 1985",1982-01-01,1
1996,"Bay of Biscay & Iberian Coast","ABI","Tricellaria inopinata d'Hondt & Occhipinti Ambrogi, 1985",1996-01-01,1
2006,"Celtic Seas","ACS","Tricellaria inopinata d'Hondt & Occhipinti Ambrogi, 1985",2006-01-01,1
2015,"Eastern Mediterranean Sea","MAL","Tricellaria inopinata d'Hondt & Occhipinti Ambrogi, 1985",2015-01-01,1
2000,"Greater North Sea","ANS","Tricellaria inopinata d'Hondt & Occhipinti Ambrogi, 1985",2000-01-01,1
2011,"Macaronesia","AMA","Tricellaria inopinata d'Hondt & Occhipinti Ambrogi, 1985",2011-01-01,1
2010,"Western Mediterranean Sea","MWE","Tricellaria inopinata d'Hondt & Occhipinti Ambrogi, 1985",2010-01-01,1
1992,"Adriatic Sea","MAD","Undaria pinnatifida (Harvey) Suringar, 1873",1992-01-01,1
1983,"Bay of Biscay & Iberian Coast","ABI","Undaria pinnatifida (Harvey) Suringar, 1873",1983-01-01,1
1983,"Celtic Seas","ACS","Undaria pinnatifida (Harvey) Suringar, 1873",1983-01-01,1
1998,"Central Mediterranean Sea","MIC","Undaria pinnatifida (Harvey) Suringar, 1873",1998-01-01,1
1975,"Greater North Sea","ANS","Undaria pinnatifida (Harvey) Suringar, 1873",1975-01-01,1
1971,"Western Mediterranean Sea","MWE","Undaria pinnatifida (Harvey) Suringar, 1873",1971-01-01,1
